culturing_time	sample	count	coverage	frequency	position	region	region_barplot	replicate	term
24	2	1	8089	0.000123625	1260	other	other	R2	short
24	2	1	9388	0.000106519	2221	other	other	R2	short
24	2	1	9134	0.000109481	2388	other	other	R2	short
24	2	2	9468	0.000211238	2987	other	other	R2	short
24	2	2	9439	0.000211887	3029	loop	3029	R2	short
24	2	6	9470	0.00063358	3031	loop	3031	R2	short
24	2	6	9428	0.000636402	3033	loop	3033	R2	short
24	2	1	9410	0.00010627	3034	loop	3034	R2	short
24	2	3	9400	0.000319149	3035	loop	3035	R2	short
24	2	1	9117	0.000109685	3110	other	other	R2	short
24	2	11	9163	0.00120048	3118	loop	3118	R2	short
24	2	3	9139	0.000328263	3119	other	other	R2	short
24	2	1	8171	0.000122384	3413	other	other	R2	short
24	2	1	7601	0.000131562	3873	other	other	R2	short
24	2	1	8085	0.000123686	4118	other	other	R2	short
24	2	1	7889	0.000126759	4248	other	other	R2	short
36	3	1	5170	0.000193424	213	other	other	R2	short
36	3	1	4622	0.000216357	625	other	other	R2	short
36	3	1	4746	0.000210704	737	other	other	R2	short
36	3	1	4837	0.00020674	875	other	other	R2	short
36	3	1	4737	0.000211104	1710	other	other	R2	short
36	3	1	4810	0.0002079	1742	other	other	R2	short
36	3	1	5491	0.000182116	2795	other	other	R2	short
36	3	1	5546	0.00018031	3029	loop	3029	R2	short
36	3	2	5569	0.000359131	3030	loop	3030	R2	short
36	3	1	5552	0.000180115	3031	loop	3031	R2	short
36	3	3	5525	0.000542986	3033	loop	3033	R2	short
36	3	6	5371	0.00111711	3118	loop	3118	R2	short
36	3	1	5355	0.000186741	3119	other	other	R2	short
48	4	1	5677	0.000176149	51	other	other	R2	short
48	4	1	6745	0.000148258	2197	other	other	R2	short
48	4	1	6912	0.000144676	2935	other	other	R2	short
48	4	1	6769	0.000147732	2992	other	other	R2	short
48	4	1	6765	0.00014782	3005	other	other	R2	short
48	4	4	6740	0.000593472	3029	loop	3029	R2	short
48	4	3	6756	0.00044405	3030	loop	3030	R2	short
48	4	4	6760	0.000591716	3031	loop	3031	R2	short
48	4	2	6761	0.000295814	3032	loop	3032	R2	short
48	4	5	6741	0.00074173	3033	loop	3033	R2	short
48	4	2	6733	0.000297044	3035	loop	3035	R2	short
48	4	1	6406	0.000156104	3101	other	other	R2	short
48	4	5	6504	0.000768758	3118	loop	3118	R2	short
48	4	1	6500	0.000153846	3119	other	other	R2	short
48	4	1	5304	0.000188537	3873	other	other	R2	short
60	5	1	8288	0.000120656	734	other	other	R2	short
60	5	1	9550	0.000104712	1527	other	other	R2	short
60	5	1	9225	0.000108401	1838	other	other	R2	short
60	5	1	9855	0.000101471	1950	other	other	R2	short
60	5	1	10433	9.58E-05	2262	other	other	R2	short
60	5	3	11230	0.000267142	3005	other	other	R2	short
60	5	1	11246	8.89E-05	3025	other	other	R2	short
60	5	1	11294	8.85E-05	3027	loop	3027	R2	short
60	5	4	11258	0.000355303	3029	loop	3029	R2	short
60	5	2	11279	0.000177321	3031	loop	3031	R2	short
60	5	1	11271	8.87E-05	3032	loop	3032	R2	short
60	5	11	11224	0.000980043	3033	loop	3033	R2	short
60	5	1	10813	9.25E-05	3118	loop	3118	R2	short
60	5	1	10785	9.27E-05	3119	other	other	R2	short
60	5	1	10266	9.74E-05	3218	other	other	R2	short
60	5	1	8751	0.000114273	3799	other	other	R2	short
72	0	1	4749	0.000210571	667	other	other	R6	long
72	0	1	4926	0.000203004	784	other	other	R6	long
72	0	6	5661	0.001059883	3005	other	other	R6	long
72	0	10	5672	0.001763047	3029	loop	3029	R6	long
72	0	1	5671	0.000176336	3031	loop	3031	R6	long
72	0	7	5636	0.001242016	3034	loop	3034	R6	long
72	0	4	5599	0.000714413	3118	loop	3118	R6	long
84	1	1	10141	9.86E-05	15	other	other	R6	long
84	1	1	9976	0.000100241	289	other	other	R6	long
84	1	1	9320	0.000107296	541	other	other	R6	long
84	1	1	9667	0.000103445	866	other	other	R6	long
84	1	3	10817	0.000277341	3005	other	other	R6	long
84	1	1	10869	9.20E-05	3025	other	other	R6	long
84	1	10	10880	0.000919118	3029	loop	3029	R6	long
84	1	12	10898	0.001101119	3031	loop	3031	R6	long
84	1	1	10828	9.24E-05	3034	loop	3034	R6	long
84	1	2	10616	0.000188395	3081	other	other	R6	long
84	1	2	10731	0.000186376	3118	loop	3118	R6	long
108	2	1	10278	9.73E-05	620	other	other	R6	long
108	2	1	10323	9.69E-05	889	other	other	R6	long
108	2	1	10229	9.78E-05	1141	other	other	R6	long
108	2	2	11597	0.000172458	2269	other	other	R6	long
108	2	2	12209	0.000163814	2493	other	other	R6	long
108	2	1	12233	8.17E-05	2849	other	other	R6	long
108	2	1	12128	8.25E-05	3029	loop	3029	R6	long
108	2	7	12158	0.000575753	3031	loop	3031	R6	long
108	2	1	12069	8.29E-05	3034	loop	3034	R6	long
108	2	1	11975	8.35E-05	3118	loop	3118	R6	long
108	2	1	11349	8.81E-05	3275	other	other	R6	long
156	3	1	5350	0.000186916	2935	other	other	R6	long
240	4	1	5400	0.000185185	1179	other	other	R6	long
318	5	1	5427	0.000184264	1978	other	other	R6	long
72	0	2	7567	0.000264306	1350	other	other	R7	long
72	0	32	9933	0.003221585	3005	other	other	R7	long
72	0	97	9987	0.009712626	3029	loop	3029	R7	long
72	0	8	10009	0.000799281	3030	loop	3030	R7	long
72	0	1	9995	0.00010005	3031	loop	3031	R7	long
72	0	2	9997	0.00020006	3032	loop	3032	R7	long
72	0	6	9945	0.000603318	3033	loop	3033	R7	long
72	0	58	9938	0.005836184	3034	loop	3034	R7	long
72	0	48	9996	0.004801921	3118	loop	3118	R7	long
84	1	1	9412	0.000106247	1176	other	other	R7	long
84	1	5	9660	0.000517598	1350	other	other	R7	long
84	1	1	9248	0.000108131	1656	other	other	R7	long
84	1	1	11115	9.00E-05	2524	other	other	R7	long
84	1	1	10760	9.29E-05	2559	other	other	R7	long
84	1	1	11149	8.97E-05	2664	other	other	R7	long
84	1	1	11368	8.80E-05	2914	other	other	R7	long
84	1	1	11248	8.89E-05	2925	other	other	R7	long
84	1	10	11170	0.000895255	3005	other	other	R7	long
84	1	34	11184	0.003040057	3029	loop	3029	R7	long
84	1	2	11194	0.000178667	3030	loop	3030	R7	long
84	1	2	11167	0.000179099	3031	loop	3031	R7	long
84	1	1	11159	8.96E-05	3032	loop	3032	R7	long
84	1	3	11099	0.000270295	3033	loop	3033	R7	long
84	1	13	11087	0.001172544	3034	loop	3034	R7	long
84	1	16	10942	0.001462256	3118	loop	3118	R7	long
108	2	1	8866	0.00011279	711	other	other	R7	long
108	2	16	8975	0.00178273	1350	other	other	R7	long
108	2	3	10278	0.000291886	3005	other	other	R7	long
108	2	10	10279	0.000972857	3029	loop	3029	R7	long
108	2	1	10329	9.68E-05	3030	loop	3030	R7	long
108	2	1	10331	9.68E-05	3032	loop	3032	R7	long
108	2	6	10265	0.00058451	3034	loop	3034	R7	long
108	2	1	10208	9.80E-05	3118	loop	3118	R7	long
108	2	1	9017	0.000110902	3892	other	other	R7	long
156	3	1	12825	7.80E-05	136	other	other	R7	long
156	3	1	9780	0.000102249	604	other	other	R7	long
156	3	1	9751	0.000102554	1157	other	other	R7	long
156	3	1	9840	0.000101626	1292	other	other	R7	long
156	3	11	10424	0.001055257	1350	other	other	R7	long
156	3	1	10683	9.36E-05	1920	other	other	R7	long
156	3	1	11644	8.59E-05	2108	other	other	R7	long
156	3	1	14170	7.06E-05	2861	other	other	R7	long
156	3	1	14185	7.05E-05	3005	other	other	R7	long
156	3	20	14197	0.001408748	3029	loop	3029	R7	long
156	3	1	14219	7.03E-05	3032	loop	3032	R7	long
240	4	1	11444	8.74E-05	15	other	other	R7	long
240	4	1	8482	0.000117897	494	other	other	R7	long
240	4	1	9192	0.00010879	1340	other	other	R7	long
240	4	8	9078	0.000881251	1350	other	other	R7	long
240	4	1	9694	0.000103157	1901	other	other	R7	long
240	4	1	11355	8.81E-05	2524	other	other	R7	long
240	4	1	11260	8.88E-05	2531	other	other	R7	long
240	4	19	12558	0.00151298	3029	loop	3029	R7	long
318	5	1	7561	0.000132258	768	other	other	R7	long
318	5	1	8960	0.000111607	2107	other	other	R7	long
318	5	1	9294	0.000107596	2479	other	other	R7	long
318	5	1	9540	0.000104822	2531	other	other	R7	long
318	5	14	10633	0.001316656	3029	loop	3029	R7	long
318	5	1	8736	0.000114469	3842	other	other	R7	long
318	5	1	8671	0.000115327	3873	other	other	R7	long
0	0	0	10000	-1	3027	loop	3027	R7	long
0	0	0	10000	-1	3028	loop	3028	R7	long
0	0	0	10000	-1	3035	loop	3035	R7	long
0	0	0	10000	-1	3027	loop	3027	R6	long
0	0	0	10000	-1	3028	loop	3028	R6	long
0	0	0	10000	-1	3030	loop	3030	R6	long
0	0	0	10000	-1	3032	loop	3032	R6	long
0	0	0	10000	-1	3033	loop	3033	R6	long
0	0	0	10000	-1	3035	loop	3035	R6	long
